filename,renjiao_hint,content_type,old_manifest,topic_keywords
五上-期末试卷_694be453000000001d03eb59.txt,五上,期末复习,keep-5grade|reject,五上-期末试卷
五上-期末试卷（判断题、计算题、操作题）_694f679d000000001d03e370.txt,五上,期末复习,keep-5grade|reject,五上-期末试卷（判断题、计算题、操作题）
五上-期末试卷（填空题）_694d3c4f000000001d03cd19.txt,五上,期末复习,keep-5grade|reject,五上-期末试卷（填空题）
五上-期末试卷（问题解决）_694fb4f5000000001e00a7b5.txt,五上,期末复习,keep-5grade|reject,五上-期末试卷（问题解决）
五上-植树问题_69562be7000000001e00be3e.txt,五上,其他,keep-5grade|keep-6grade|reject,五上-植树问题
五上-比较大小_68ebb9b0000000000703adfb.txt,五上,其他,keep-5grade|reject,五上-比较大小
五上-比较大小_695ceefb000000000c03739f.txt,五上,其他,keep-5grade|reject,五上-比较大小
五上-求近似数_696cf681000000000a03f35f.txt,五上,其他,keep-5grade|reject,五上-求近似数
五上-用举例子的方法理解题意_68d66985000000001202f01d.txt,五上,其他,keep-5grade|reject,五上-用举例子的方法理解题意
五上-用字母表示数_6900a5940000000007033554.txt,五上,其他,keep-5grade|reject,五上-用字母表示数
五上-用字母表示数_6908c12000000000070341f7.txt,五上,其他,keep-5grade|keep-6grade|reject,五上-用字母表示数
五上-画图的重要性_694a78f5000000001d03a5cb.txt,五上,其他,keep-5grade|reject,五上-画图的重要性
五上-竖式计算_68d3d427000000001203fa9d.txt,五上,教学,keep-5grade|reject,五上-竖式计算
五上-等式与方程_6915d4ee0000000007038284.txt,五上,教学,keep-5grade|reject,五上-等式与方程
五上-简便计算_69525d9c000000001e00f217.txt,五上,教学,keep-5grade|reject,五上-简便计算
五上-简便计算_696330e2000000000b00ab4b.txt,五上,教学,keep-5grade|reject,五上-简便计算
五上-算理_696331df000000000a028fd9.txt,五上,其他,keep-5grade|reject,五上-算理
五上-组合图形的面积_693acc91000000001d03b7a2.txt,五上,教学,keep-5grade|reject,五上-组合图形的面积
五上-翻折问题_693fd645000000001e01321c.txt,五上,其他,keep-5grade|reject,五上-翻折问题
五上-解简单的方程_6915d5d000000000070358f0.txt,五上,教学,keep-5grade|reject,五上-解简单的方程
五上-解简单的方程（未知数是减数或除数）_6915e16c000000000700f8c9.txt,五上,教学,keep-5grade|reject,五上-解简单的方程（未知数是减数或除数）
五上-计算含字母的式子_6904ba980000000007033e35.txt,五上,教学,keep-5grade|reject,五上-计算含字母的式子
五上-这个方程有问题？_69299d4a000000001e007abc.txt,五上,教学,keep-5grade|reject,五上-这个方程有问题？
五上-错中求解_68ebb92e0000000007033f69.txt,五上,其他,keep-5grade|reject,五上-错中求解
五上-长方形框架拉动_69355048000000001e00891c.txt,五上,其他,keep-5grade|reject,五上-长方形框架拉动
五上-问题解决（去尾法、进一法）_68f23b3c000000000703443a.txt,五上,其他,keep-5grade|reject,五上-问题解决（去尾法、进一法）
五上-阴影部分的面积_693fd710000000001d03e161.txt,五上,教学,keep-5grade|reject,五上-阴影部分的面积
五上-除法竖式_68ed14600000000007009831.txt,五上,教学,keep-5grade|reject,五上-除法竖式
五上-随便聊聊_691f1d9e000000001e00a8c4.txt,五上,其他,reject,五上-随便聊聊
五上-面积相关题型_69525d4c000000001e009fc2.txt,五上,教学,keep-5grade|reject,五上-面积相关题型
五上第一单元-分段计费_68d14c81000000001202cd7d.txt,五上,教学,keep-5grade|keep-6grade|reject,五上第一单元-分段计费
今天和学生一起探究了租船问题。发现有这样的几个点学生理解起来比较困难：_67bc5324000000002902e176.txt,无年级前缀,其他,keep-34grade,今天和学生一起探究了租船问题。发现有这样的几个点学生理解起来比较困难：
你好2025！_677525870000000013002d00.txt,无年级前缀,其他,keep-34grade,你好2025！
倒推法解题。借助开火车的形式呈现，学生更容易理解。小学数学四年级数学_67cdb7410000000029016184.txt,无年级前缀,教学,keep-34grade,倒推法解题。借助开火车的形式呈现，学生更容易理解。小学数学四年级数学
公顷练习题：一个面积为1公顷的正方形苗圃，边长合增加100米后，面积增加了多少公_670b58e20000000021000dc6.txt,无年级前缀,教学,keep-34grade,公顷练习题：一个面积为1公顷的正方形苗圃，边长合增加100米后，面积增加了多少公
关于线段、射线和直线的易错判断题。#小学数学 #易错题_67119532000000001b03e3df.txt,无年级前缀,思维拓展|教学,keep-34grade,关于线段、射线和直线的易错判断题。
关于这道题，我的印象很深。有一个学生说，他是用直尺按照比例量出来的！厉害呀👍，_699858b3000000000b013af6.txt,无年级前缀,其他,keep-34grade|keep-6grade,关于这道题，我的印象很深。有一个学生说，他是用直尺按照比例量出来的！厉害呀👍，
分段计费（分三段）_6975efab000000000b009f80.txt,无年级前缀,其他,keep-34grade|keep-6grade,分段计费（分三段）
判断商是三位数的算式是？无论是三年级学的除数是一位数的除法还是四年级即将学的除数_66d80aeb000000001e0196a5.txt,三下,其他,keep-34grade,判断商是三位数的算式是？无论是三年级学的除数是一位数的除法还是四年级即将学的除数
加法算式→乘法算式。(掌握底层逻辑)#小学数学 #易错题_6709af0c000000001b020a2b.txt,无年级前缀,思维拓展|教学,keep-34grade,加法算式→乘法算式。(掌握底层逻辑)
加法运算律。加法交换律抓住位置是否发生了改变，加法结合律抓住运算顺序是否发生了变_67decd63000000001d01543f.txt,无年级前缀,其他,keep-34grade,加法运算律。加法交换律抓住位置是否发生了改变，加法结合律抓住运算顺序是否发生了变
区分计数单位、数位和数级。重点理解每个数字表示的意义……#小学数学 #大数的认识_66eacd600000000012012e72.txt,无年级前缀,教学,keep-34grade,区分计数单位、数位和数级。重点理解每个数字表示的意义……
只要开窍计算原理，就能用巧算快速搞定两位数乘三位数，开学前码住#每天学习一点点#_66d1ac30000000001d017543.txt,无年级前缀,教学,reject,只要开窍计算原理，就能用巧算快速搞定两位数乘三位数，开学前码住
四上八单元：烙饼问题（同时烙4张）小学数学数学思维 易错题_675d55d6000000000600d654.txt,四上,思维拓展|教学,keep-34grade,四上八单元：烙饼问题（同时烙4张）小学数学数学思维 易错题
四上思维拓展：翻折问题（难）。_673add700000000007025909.txt,四上,思维拓展,keep-34grade,四上思维拓展：翻折问题（难）。
四上思维拓展：追及问题。（枯燥的复习阶段，安排了这样的一道思维题来让学生们浅浅地_677fb6fc000000001a034535.txt,四上,思维拓展,keep-34grade,四上思维拓展：追及问题。（枯燥的复习阶段，安排了这样的一道思维题来让学生们浅浅地
四上思维提升：盈亏问题。_673950d0000000001b02a420.txt,四上,其他,keep-34grade,四上思维提升：盈亏问题。
四上期中复习：30千克大米87元，90千克同样的大米多少元？#小学数学 #数学思_672f30f8000000001a01f905.txt,四上,教学,keep-34grade,四上期中复习：30千克大米87元，90千克同样的大米多少元？
四上期中复习：谁的速度快？#小学数学 #数学思维 #易错题_67302188000000001b029504.txt,四上,思维拓展|教学,keep-34grade,四上期中复习：谁的速度快？
四上期末复习建议小学数学 期末期末复习 期末试卷 期末冲刺_676181320000000013001842.txt,四上,期末复习|教学,keep-34grade,四上期末复习建议小学数学 期末期末复习 期末试卷 期末冲刺
四上期末复习：5道易错判断题小学数学 数学思维 易错题 期末_67754a400000000009017ee8.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：5道易错判断题小学数学 数学思维 易错题 期末
四上期末复习：“还剩问题”小学数学 易错题 期末复习 #_6783bc1000000000200183de.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：“还剩问题”小学数学 易错题 期末复习 #
四上期末复习：◻️里可以填几？_676015b5000000001300263a.txt,四上,期末复习,keep-34grade,四上期末复习：◻️里可以填几？
四上期末复习：一个长方形正好可以分成三个完全一样的正方形。_67655c2d000000001300b49b.txt,四上,期末复习,keep-34grade,四上期末复习：一个长方形正好可以分成三个完全一样的正方形。
四上期末复习：一张长方形纸和一张三角形纸重叠（不是等腰梯形哟）小学数学 易错题_676ec5520000000013009ed6.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：一张长方形纸和一张三角形纸重叠（不是等腰梯形哟）小学数学 易错题
四上期末复习：三个量的和倍问题。小学数学 数学思维 易错题_675d5666000000000700ea4e.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：三个量的和倍问题。小学数学 数学思维 易错题
四上期末复习：乘除法。这道题被很多人吐槽“不计算”三个字，大家图一乐吧[笑哭R]_678670f100000000200170c6.txt,四上,期末复习,keep-34grade,四上期末复习：乘除法。这道题被很多人吐槽“不计算”三个字，大家图一乐吧[笑哭R]
四上期末复习：买赠问题（买五送二）小学数学 期末期末复习_6768322c0000000014022a1d.txt,四上,期末复习|教学,keep-34grade,四上期末复习：买赠问题（买五送二）小学数学 期末期末复习
四上期末复习：余数的变化规律（拓展题）_67596d1c000000000603a381.txt,四上,期末复习|思维拓展,keep-34grade,四上期末复习：余数的变化规律（拓展题）
四上期末复习：借助字母“U”“N”，巧记正确结果。_676a90ac0000000009014140.txt,四上,期末复习,keep-34grade,四上期末复习：借助字母“U”“N”，巧记正确结果。
四上期末复习：和倍问题（除法算式各部分之间的关系）小学数学 小学数学思维训练_676015820000000014024658.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：和倍问题（除法算式各部分之间的关系）小学数学 小学数学思维训练
四上期末复习：图形的面积。_6787b730000000001801727f.txt,四上,期末复习|教学,keep-34grade,四上期末复习：图形的面积。
四上期末复习：在方格纸上找点画梯形。（做到不重不漏）小学数学 易错题期末_677bef9000000000200220a1.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：在方格纸上找点画梯形。（做到不重不漏）小学数学 易错题期末
四上期末复习：平行四边形拉动变成长方形小学数学 期末复习易错题 数学思维_67694c9b0000000014027d6e.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：平行四边形拉动变成长方形小学数学 期末复习易错题 数学思维
四上期末复习：往返问题。小学数学 期末复习 易错题_67867167000000002002e723.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：往返问题。小学数学 期末复习 易错题
四上期末复习：扑克牌游戏，保证胜利！小学数学 数学思维 易错题 期末_676bf0f600000000090152f6.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：扑克牌游戏，保证胜利！小学数学 数学思维 易错题 期末
四上期末复习：数位与数的大小（基础），视频最后留有一道拓展题，大家试着做一做，下_6773c4d2000000000902df40.txt,四上,期末复习|思维拓展,keep-34grade,四上期末复习：数位与数的大小（基础），视频最后留有一道拓展题，大家试着做一做，下
四上期末复习：数位与数的大小（拓展）小学数学 数学思维 期末复习 易错题_6773c69b00000000140257c2.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：数位与数的大小（拓展）小学数学 数学思维 期末复习 易错题
四上期末复习：文字特别多的题（“里程表”。）小学数学 思维训练_675ed99c000000000700c8e0.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：文字特别多的题（“里程表”。）小学数学 思维训练
四上期末复习：新题型（培养学生数感）小学数学 期末复习 数学思维 易错题_676eadcb0000000014024092.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：新题型（培养学生数感）小学数学 期末复习 数学思维 易错题
四上期末复习：易错点（速度的描述+计算经过时间的书写格式+计算路程）。小学数学_67656163000000001300cd2c.txt,四上,期末复习|教学,keep-34grade,四上期末复习：易错点（速度的描述+计算经过时间的书写格式+计算路程）。小学数学
四上期末复习：易错题（写出同时满足两个条件的多位数）。小学数学易错题 期末复习_676559f70000000013018a0a.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：易错题（写出同时满足两个条件的多位数）。小学数学易错题 期末复习
四上期末复习：易错题（出售这种衣服能赚多少钱？）。小学数学 数学思维 易错题_6783bd3e0000000020018799.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：易错题（出售这种衣服能赚多少钱？）。小学数学 数学思维 易错题
四上期末复习：易错题（判断平行四边形与梯形的高）小学数学 期末复习 易错题_676eac8e000000000902c85b.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：易错题（判断平行四边形与梯形的高）小学数学 期末复习 易错题
四上期末复习：易错题（将圆形纸片对折两次后，折痕的位置关系？）。小学数学 易错题_677a9d53000000000902f161.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：易错题（将圆形纸片对折两次后，折痕的位置关系？）。小学数学 易错题
四上期末复习：易错题（平均速度）。小学数学 易错题 期末复习_67754acf000000001300b7db.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：易错题（平均速度）。小学数学 易错题 期末复习
四上期末复习：易错题（数互相平行或互相垂直的线段分别有几组）。小学数学 易错题_676ffafe000000001300004c.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：易错题（数互相平行或互相垂直的线段分别有几组）。小学数学 易错题
四上期末复习：易错题（时间与角的大小的关系）小学数学 易错题 期末_67714b000000000013018945.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：易错题（时间与角的大小的关系）小学数学 易错题 期末
四上期末复习：易错题（近似数与数尺）。特别容易错选3号。小学数学 易错题期末_6773c975000000000902c3bf.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：易错题（近似数与数尺）。特别容易错选3号。小学数学 易错题期末
四上期末复习：有点难度的行程问题（画图很重要）小学数学 数学思维 期末复习_677148f5000000001402189f.txt,四上,期末复习|教学,keep-34grade,四上期末复习：有点难度的行程问题（画图很重要）小学数学 数学思维 期末复习
四上期末复习：有难度的错中求解问题。_675ac4b5000000000700f8cf.txt,四上,期末复习,keep-34grade,四上期末复习：有难度的错中求解问题。
四上期末复习：梯形➡️平行四边形。小学数学 期末复习 易错题_6783bcb2000000001903714c.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：梯形➡️平行四边形。小学数学 期末复习 易错题
四上期末复习：火车过桥+火车过山洞（两次通过）。难度加大了，但是方法没有变。 数_677e7ef0000000000900e03d.txt,四上,期末复习,keep-34grade,四上期末复习：火车过桥+火车过山洞（两次通过）。难度加大了，但是方法没有变。 数
四上期末复习：火车过隧道问题（强调画图解决问题）小学数学 期末 期末复习_67682ed4000000001301b9ba.txt,四上,期末复习|教学,keep-34grade,四上期末复习：火车过隧道问题（强调画图解决问题）小学数学 期末 期末复习
四上期末复习：简便运算（变胖、变瘦，除法的性质），视频比较长，大家耐心看完！小学_6777f584000000000902c49e.txt,四上,期末复习,keep-34grade,四上期末复习：简便运算（变胖、变瘦，除法的性质），视频比较长，大家耐心看完！小学
四上期末复习：经典必考题（在连等算式里填空）。特地整理了这种类型的题，引导学生做_6779164b0000000009015dbb.txt,四上,期末复习,keep-34grade,四上期末复习：经典必考题（在连等算式里填空）。特地整理了这种类型的题，引导学生做
四上期末复习：翻折问题。小学数学 易错题期末复习_677668ed0000000013008d44.txt,四上,期末复习|思维拓展|教学,keep-34grade,四上期末复习：翻折问题。小学数学 易错题期末复习
四上期末复习：考查变化规律。与学生分享方法，提高正确率。小学数学 数学思维 易错_676a9f8700000000090173c3.txt,四上,期末复习|教学,keep-34grade,四上期末复习：考查变化规律。与学生分享方法，提高正确率。小学数学 数学思维 易错
四上期末复习：选择题的技巧。小学数学 期末复习_676ff8fb000000001300c3b8.txt,四上,期末复习|教学,keep-34grade,四上期末复习：选择题的技巧。小学数学 期末复习
四上第五单元思维拓展：等腰梯形与翻折。_673ea6150000000007030c83.txt,四上,思维拓展|教学,keep-34grade,四上第五单元思维拓展：等腰梯形与翻折。
四上第五单元：两个完全相同的平行四边形拼成一个大平行四边形，求周长？（题目中出现_6741a1510000000007024c33.txt,四上,教学,keep-34grade,四上第五单元：两个完全相同的平行四边形拼成一个大平行四边形，求周长？（题目中出现
四上第五单元：两个完全相同的直角梯形拼成一个长方形。小学数学 梯形_673d6043000000000800570a.txt,四上,教学,keep-34grade,四上第五单元：两个完全相同的直角梯形拼成一个长方形。小学数学 梯形
四上第五单元：平行四边形的特征_67373ac40000000019016236.txt,四上,教学,keep-34grade,四上第五单元：平行四边形的特征
四上第五单元：平行四边形里的和差问题。小学数学 数学思维_674bffdc00000000070256b3.txt,四上,教学,keep-34grade,四上第五单元：平行四边形里的和差问题。小学数学 数学思维
四上第五单元：数图形的个数。（今天与大家分享的是最最基础的方法，能做到不重不漏。_673dce9800000000070312d8.txt,四上,教学,keep-34grade,四上第五单元：数图形的个数。（今天与大家分享的是最最基础的方法，能做到不重不漏。
四上第五单元：易错题（沙包投掷成绩）。易错题 小学数学_6742a48c00000000080053c8.txt,四上,思维拓展|教学,keep-34grade,四上第五单元：易错题（沙包投掷成绩）。易错题 小学数学
四上第五单元：根据梯形的特征进行判断。小学数学梯形_673c8510000000000703939b.txt,四上,教学,keep-34grade,四上第五单元：根据梯形的特征进行判断。小学数学梯形
四上第五单元：画垂线（上集）_6734361f000000001b02be46.txt,四上,教学,keep-34grade,四上第五单元：画垂线（上集）
四上第五单元：画垂线（下集）。_67347610000000001b0102e1.txt,四上,教学,keep-34grade,四上第五单元：画垂线（下集）。
四上第五单元：画垂线（易错点）。_6735d09a000000001b02c35b.txt,四上,教学,keep-34grade,四上第五单元：画垂线（易错点）。
四上第五单元：画平行四边形的高（需延伸的情况）。_673b1c1200000000070310c3.txt,四上,教学,keep-34grade,四上第五单元：画平行四边形的高（需延伸的情况）。
四上第五单元：画平行线（初步感知，书上没有明确要求画，只是在练习册上出现了，所以_67361e5a000000001b011c2c.txt,四上,教学,keep-34grade,四上第五单元：画平行线（初步感知，书上没有明确要求画，只是在练习册上出现了，所以
四上第五单元：认识平行和垂直。（第一印象很重要，所以特地与大家分享这一个长长的课_6731f887000000001b029d58.txt,四上,教学,keep-34grade,四上第五单元：认识平行和垂直。（第一印象很重要，所以特地与大家分享这一个长长的课
四上第五单元：认识平行四边形（上）-特征、与长方形和正方形的关系。小学数学 认识_6736fba6000000001b02e2c4.txt,四上,教学,keep-34grade,四上第五单元：认识平行四边形（上）-特征、与长方形和正方形的关系。小学数学 认识
四上第五单元：长方形折叠成梯形。小学数学 易错题 思维训练_674689d90000000008005226.txt,四上,思维拓展|教学,keep-34grade,四上第五单元：长方形折叠成梯形。小学数学 易错题 思维训练
四上第五单元：长方形拉成平行四边形，什么变了？怎么在变？小学数学 易错题_6745c01b0000000008007fca.txt,四上,思维拓展|教学,keep-34grade,四上第五单元：长方形拉成平行四边形，什么变了？怎么在变？小学数学 易错题
四上第五单元：验证两条直线是否互相垂直（垂直与翻折）。小学数学 数学思维_67332a09000000001901612b.txt,四上,教学,keep-34grade,四上第五单元：验证两条直线是否互相垂直（垂直与翻折）。小学数学 数学思维
