filename,bucket,grade_semester,renjiao_hint,safety,beishida_unit,confidence,rule_id,audit_note,chars
7038826929490906404.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",581
7038921813086260512.md,keep,6上,内容审查→6上（得分5·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 5, '1shang': 0, '1xia': 0}",848
7039121965751340325.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '1shang': 0, '1xia': 0}",2068
7039165294996098340.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '1shang': 0, '1xia': 0}",476
7039305714367483166.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 1, '1shang': 0}",942
7039327854164856077.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '4xia': 5, '1shang': 0}",581
7039342125288279335.md,keep,4上,内容审查→4上（得分7·小数簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 7, '4xia': 5, '6shang': 1}",1280
7039511156960038151.md,keep,4下,内容审查→4下（得分5·六上簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 5, '1shang': 0}",620
7039545376923208998.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '1shang': 0, '1xia': 0}",551
7039611061561036043.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '3xia': 1, '4xia': 1}",600
7039718113369230625.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",448
7039925956672294180.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '4xia': 5, '1xia': 1}",2897
7039933600002739494.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",655
7039946075620396321.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",182
7040066833948380453.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",337
7040226806451997991.md,keep,3上,内容审查→3上（得分4·三上簇）,绿,,high,content-audit-douyin,"top_scores={'3shang': 4, '3xia': 1, '1shang': 0}",484
7040332516057828616.md,keep,6上,内容审查→6上（得分5·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 5, '1shang': 0, '1xia': 0}",320
7040405117459270915.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",1355
7040598003861769502.md,keep,4下,内容审查→4下（得分5·小数簇）,黄,四下综合,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 1, '1shang': 0}",1374
7040623410820533542.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",420
7040700233134656801.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",613
7040961715537841446.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",484
7041023458502872333.md,keep,4上,内容审查→4上（得分6·大数/数位簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 6, '1shang': 0, '1xia': 0}",683
7041037489724771596.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",189
7041108726689959182.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",197
7041173544323140872.md,keep,4上,内容审查→4上（得分6·小数簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 6, '4xia': 5, '6shang': 1}",513
7041386802422287624.md,keep,6上,内容审查→6上（得分5·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 5, '3shang': 4, '3xia': 1}",961
7041388171933895975.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '1shang': 0, '1xia': 0}",464
7041389354262088963.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",643
7041793793066077447.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",489
7041835350569782565.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",377
7042162005800668449.md,keep,1下,内容审查→1下（得分1）,绿,,low,content-audit-douyin,"top_scores={'1xia': 1, '1shang': 0, '2shang': 0}",1471
7042163897414978853.md,keep,3上,内容审查→3上（得分4·三上簇）,绿,,high,content-audit-douyin,"top_scores={'3shang': 4, '3xia': 1, '6shang': 1}",892
7042172784004402465.md,shell,,,N/A,,high,shell-empty,空壳遗留,160
7042312716148641035.md,keep,4下,内容审查→4下（得分5·六上簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 5, '1shang': 0}",486
7042556817737600288.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '1xia': 1, '2shang': 1}",1621
7042564759106899232.md,keep,4上,内容审查→4上（得分11·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 11, '1shang': 0, '1xia': 0}",587
7042846662384979233.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",555
7043380898837941517.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",903
7043644667086310693.md,keep,5上,内容审查→5上（得分1）,绿,,low,content-audit-douyin,"top_scores={'5shang': 1, '1shang': 0, '1xia': 0}",461
7044301282210794765.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '1shang': 0, '1xia': 0}",480
7044317087933746462.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '1xia': 1, '1shang': 0}",1308
7044729251215527204.md,shell,,,N/A,,high,shell-empty,空壳遗留,160
7044732552657014049.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",999
7045198381274156326.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",286
7046218474774957343.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",228
7047297988380642573.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",364
7052706954120088862.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",187
7063403021404785959.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",479
7063705135930805512.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '1shang': 0, '1xia': 0}",348
7063812109515099430.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '1shang': 0, '1xia': 0}",369
7064445190076894496.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",388
7064490777686101287.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '1shang': 0, '1xia': 0}",447
7064764301826886943.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '1shang': 0, '1xia': 0}",490
7145057108583517454.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",170
7145276536420093191.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '1shang': 0, '1xia': 0}",450
7145304105940978982.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",211
7145319535585873189.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",229
7145696476805516557.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",294
7146195355896483080.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",226
7147917841793174815.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",184
7148669955603483941.md,shell,,,N/A,,high,shell-empty,空壳遗留,141
7148680753235250445.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",313
7151383482680347918.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",205
7151937670405442853.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",212
7158053079798025508.md,shell,,,N/A,,high,shell-empty,空壳遗留,165
7158385924240461086.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",176
7158801246084746500.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",609
7159215971259927820.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",246
7160479853710527781.md,shell,,,N/A,,high,shell-empty,空壳遗留,131
7160656634337955086.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",226
7161786640799681806.md,shell,,,N/A,,high,shell-empty,空壳遗留,143
7162482878595616003.md,shell,,,N/A,,high,shell-empty,空壳遗留,148
7162777754197314847.md,shell,,,N/A,,high,shell-empty,空壳遗留,138
7163236043938860302.md,shell,,,N/A,,high,shell-empty,空壳遗留,140
7163273352717585677.md,shell,,,N/A,,high,shell-empty,空壳遗留,138
7163628342166572325.md,shell,,,N/A,,high,shell-empty,空壳遗留,149
7163656314739035400.md,shell,,,N/A,,high,shell-empty,空壳遗留,139
7164018102357740836.md,shell,,,N/A,,high,shell-empty,空壳遗留,147
7164397286355717406.md,shell,,,N/A,,high,shell-empty,空壳遗留,147
7164679123632147742.md,shell,,,N/A,,high,shell-empty,空壳遗留,138
7165432314615303463.md,shell,,,N/A,,high,shell-empty,空壳遗留,141
7165752958997548291.md,shell,,,N/A,,high,shell-empty,空壳遗留,140
7165772129349405983.md,shell,,,N/A,,high,shell-empty,空壳遗留,138
7166129786337758471.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",469
7166491889577823519.md,shell,,,N/A,,high,shell-empty,空壳遗留,136
7166513218188217603.md,shell,,,N/A,,high,shell-empty,空壳遗留,140
7167312281804623134.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",1959
7167333214464462088.md,shell,,,N/A,,high,shell-empty,空壳遗留,143
7167648779938647333.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '4xia': 5, '3shang': 1}",2009
7167741104660565261.md,keep,5下,内容审查→5下（得分1）,绿,,low,content-audit-douyin,"top_scores={'5xia': 1, '6shang': 1, '1shang': 0}",1512
7167988008258456839.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",429
7168017693692415244.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",913
7168441572604890375.md,shell,,,N/A,,high,shell-empty,空壳遗留,147
7168477409157762334.md,keep,4下,内容审查→4下（得分5·小数簇）,黄,四下综合,high,content-audit-douyin,"top_scores={'4xia': 5, '1shang': 0, '1xia': 0}",868
7168691852126752038.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",468
7168766894059703559.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",502
7168787547663895822.md,shell,,,N/A,,high,shell-empty,空壳遗留,142
7169061687784377631.md,keep,2上,内容审查→2上（得分1）,绿,,low,content-audit-douyin,"top_scores={'2shang': 1, '1shang': 0, '1xia': 0}",378
7169110549265992996.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",368
7169410884152937736.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",581
7169427028138085662.md,keep,5上,人教五上·植树/间隔（北师大4上无此课）,红,,high,hard-5shang-jianshu,,470
7169571205622648071.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '1shang': 0, '1xia': 0}",590
7169753952429346056.md,shell,,,N/A,,high,shell-empty,空壳遗留,165
7169797397885881638.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",501
7169838971873234183.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",423
7169878571530407181.md,shell,,,N/A,,high,shell-empty,空壳遗留,131
7170145858275593503.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",393
7170152911417167108.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",356
7170264162734476574.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",184
7170518783986044164.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",406
7170563067393150221.md,keep,2上,内容审查→2上（得分1）,绿,,low,content-audit-douyin,"top_scores={'2shang': 1, '1shang': 0, '1xia': 0}",459
7171712045824363784.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",170
7171744816382872846.md,keep,5上,人教五上·植树/间隔（北师大4上无此课）,红,,high,hard-5shang-jianshu,,3103
7172025775271546148.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",2849
7179101026207698213.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",369
7179123814024940857.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '1shang': 0, '1xia': 0}",332
7179473139049565496.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",369
7179480995824012605.md,keep,6上,内容审查→6上（得分5·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 5, '1shang': 0, '1xia': 0}",418
7181317904095366457.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",351
7181320970899131705.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",708
7185462770077404473.md,keep,2上,内容审查→2上（得分2）,绿,,medium,content-audit-douyin,"top_scores={'2shang': 2, '6shang': 1, '1shang': 0}",1251
7185469740494687549.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",1338
7185535610210241850.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",2023
7185837484943740215.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",852
7185889579424075041.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '3shang': 4, '3xia': 1}",961
7186287894234025272.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",646
7194307608776363322.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '1shang': 0, '1xia': 0}",250
7194328633450794299.md,keep,2上,内容审查→2上（得分1）,绿,,low,content-audit-douyin,"top_scores={'2shang': 1, '1shang': 0, '1xia': 0}",898
7196167102405856570.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '2shang': 2, '6shang': 1}",1830
7196222917758192933.md,shell,,,N/A,,high,shell-empty,空壳遗留,155
7196904933118070074.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",177
7197040807524797751.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",202
7198148511030922557.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",610
7198363100028882236.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",170
7198460414479404345.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",533
7199246479385578789.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",506
7199503721414331685.md,keep,4下,内容审查→4下（得分5·六上簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 5, '1shang': 0}",1142
7200213093727653180.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",502
7200216663139110201.md,keep,4下,内容审查→4下（得分5·方程/倒推簇）,黄,四下综合,high,content-audit-douyin,"top_scores={'4xia': 5, '1shang': 0, '1xia': 0}",553
7200588019022236931.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",579
7200956479766105376.md,keep,3下,内容审查→3下（得分4·三下簇）,绿,,high,content-audit-douyin,"top_scores={'3xia': 4, '1shang': 0, '1xia': 0}",477
7200961204397870368.md,shell,,,N/A,,high,shell-empty,空壳遗留,155
7201671009433324858.md,keep,2上,内容审查→2上（得分1）,绿,,low,content-audit-douyin,"top_scores={'2shang': 1, '1shang': 0, '1xia': 0}",631
7202037521008594213.md,shell,,,N/A,,high,shell-empty,空壳遗留,135
7202096804874292517.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",488
7202173288762625338.md,keep,4下,内容审查→4下（得分6·六上簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 6, '3xia': 5, '4shang': 5}",1196
7202207830919712057.md,shell,,,N/A,,high,shell-empty,空壳遗留,165
